ID_Registro,Marca de la Unidad,Año del Vehículo,Ciudad Agencia,Estado de la ciudad o Agencia,Refaccion,Precio,Fecha Compra
4027,VOLKSWAGEN,2017,AZCAPOTZALCO,CIUDAD DE MÉXICO,FACIA TRASERA,390,04/04/2019
4028,VOLKSWAGEN,2017,AZCAPOTZALCO,CIUDAD DE MÉXICO,FACIA TRASERA,3312,04/04/2019
4029,NISSAN,2015,AZCAPOTZALCO,CIUDAD DE MÉXICO,FACIA DELANTERA,127,02/04/2019
4030,VOLKSWAGEN,2015,TLALPAN,CIUDAD DE MÉXICO,PUERTA DELANTERA,1726,01/04/2019
4031,VOLKSWAGEN,2015,TLALPAN,CIUDAD DE MÉXICO,PUERTA DELANTERA,6299,01/04/2019
4032,CHRYSLER,2005,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA TRASERA,4884,11/04/2019
4033,CHRYSLER,2005,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA TRASERA,5431,11/04/2019
4034,NISSAN,2013,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FARO,2135,01/04/2019
4035,NISSAN,2013,GUSTAVO A MADERO,CIUDAD DE MÉXICO,PUERTA DELANTERA,1240,01/04/2019
4036,NISSAN,2013,GUSTAVO A MADERO,CIUDAD DE MÉXICO,LLANTA,2700,01/04/2019
4037,HONDA,2018,TLALPAN,CIUDAD DE MÉXICO,FACIA TRASERA,1290,01/04/2019
4038,VOLKSWAGEN,2015,BENITO JUAREZ,CIUDAD DE MÉXICO,FARO,2740,03/04/2019
4039,VOLKSWAGEN,2015,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,132,03/04/2019
4040,VOLKSWAGEN,2015,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,103,03/04/2019
4041,VOLKSWAGEN,2015,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,2384,03/04/2019
4042,VOLKSWAGEN,2015,BENITO JUAREZ,CIUDAD DE MÉXICO,FARO,2740,03/04/2019
