Category,Group,Sub-Group,Account,Year,Month,Amount
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,August,5825
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,September,5385
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,October,2240
Assets,Current Assets,"Deposits, Advances & Prepayments",11612,2017,January,550
Assets,Current Assets,"Deposits, Advances & Prepayments",11612,2017,September,239
Assets,Current Assets,"Deposits, Advances & Prepayments",11613,2017,January,4906
Assets,Current Assets,"Deposits, Advances & Prepayments",11613,2017,February,2456
Assets,Current Assets,"Deposits, Advances & Prepayments",11613,2017,April,35
Assets,Current Assets,"Deposits, Advances & Prepayments",11613,2017,September,39
Assets,Current Assets,"Deposits, Advances & Prepayments",11613,2017,December,60
Assets,Current Assets,"Deposits, Advances & Prepayments",11613,2018,January,2321
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,February,3500
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,March,4000
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,April,3000
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,May,3334
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,June,2168
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,July,2668
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,August,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,September,1500
Assets,Current Assets,"Deposits, Advances & Prepayments",11614,2017,October,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,January,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,February,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,March,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,April,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,May,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,June,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,July,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,August,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,September,67925
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,October,67705
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,November,68225
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2017,December,68225
Assets,Current Assets,"Deposits, Advances & Prepayments",11615,2018,January,66705
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,January,6700
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,February,2600
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,March,22100
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,April,18200
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,May,14300
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,June,10400
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,July,10400
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,August,6400
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,September,6400
Assets,Current Assets,"Deposits, Advances & Prepayments",11616,2017,October,3000
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,January,1430
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,February,695
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,March,805
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,April,100
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,June,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,July,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,September,2002
Assets,Current Assets,"Deposits, Advances & Prepayments",11617,2017,October,104
Assets,Current Assets,"Deposits, Advances & Prepayments",11618,2017,January,1690
Assets,Current Assets,"Deposits, Advances & Prepayments",11618,2017,February,1013
Assets,Current Assets,"Deposits, Advances & Prepayments",11618,2017,September,1200
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2017,January,10541
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2017,February,12027
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2017,March,8514
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2017,August,100
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2017,September,10000
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2017,October,9542
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2017,November,2500
Assets,Current Assets,"Deposits, Advances & Prepayments",11619,2018,January,18644
Assets,Current Assets,"Deposits, Advances & Prepayments",11620,2017,February,500
Assets,Current Assets,"Deposits, Advances & Prepayments",11620,2017,August,600
Assets,Current Assets,"Deposits, Advances & Prepayments",11620,2017,September,600
Assets,Current Assets,"Deposits, Advances & Prepayments",11621,2017,August,750
Assets,Current Assets,"Deposits, Advances & Prepayments",11621,2017,September,1950
Assets,Current Assets,"Deposits, Advances & Prepayments",11621,2017,October,800
Assets,Current Assets,"Deposits, Advances & Prepayments",11621,2017,November,400
Assets,Current Assets,"Deposits, Advances & Prepayments",11621,2017,December,400
Assets,Current Assets,"Deposits, Advances & Prepayments",11622,2017,January,1843
Assets,Current Assets,"Deposits, Advances & Prepayments",11622,2017,April,104
Assets,Current Assets,"Deposits, Advances & Prepayments",11622,2017,May,1104
Assets,Current Assets,"Deposits, Advances & Prepayments",11622,2017,July,1895
